question,answer
クラウド型POSシステムで売上データをCSV出力する方法は？,管理画面の［レポート］→［売上レポート］で期間を指定し、「CSVダウンロード」ボタンをクリックするとファイルが生成されます。エクスポート設定で項目選択も可能です。
テレビ局に番組企画を持ち込む際の応募方法は？,当局Webサイトの［番組企画応募］フォームに企画概要、想定出演者、予算見積を入力し、企画書（PDF）を添付してください。審査結果は6週間以内にメールで通知します。
観光協会で外国人向けパンフレットを依頼するには？,メールまたはFAXで依頼書を提出し、配布部数や言語（英語、中国語など）を指定してください。承認後、納品までに2～3週間かかります。PDFデータでの先行提供も可能です。
ワークショップ開催時に使用する会場備品を確認する方法は？,貸会議室の予約確認メールに「備品リスト」が添付されています。オンライン予約システムの「予約内容の確認」画面からも確認・追加申請が可能です。
ホームセンターで貸し出し工具を延長するにはどうすればよいですか？,借用中の工具については、返却期限の3日前からオンラインで「延長申請」ができます。延長が承認されると、延長料が日割りで自動計算され、支払い方法を選択して完了です。
採用管理システムで一次面接の日程調整機能を使う方法は？,候補者リストから該当者を選択し、「面接日程調整」をクリックするとカレンダーが表示されます。空き日程を選択し、候補者にメール送信すると調整リンクが届きます。
旅行バッグ専門店でオーダーメイドバッグを注文する流れは？,店頭でカウンセリングを受け、サイズや素材、デザインを選択後、見積書を作成します。発注書にサインした後、約4週間で完成品をお渡しします。途中で確認画像をメールで送付します。
ベビーシッターサービスを定期利用する場合の申込み方法は？,Webサイトの［定期利用申込み］フォームに利用開始日、希望曜日、時間帯、子どもの年齢を入力してください。シッターのマッチング後、初回オリエンテーションを実施します。
オフィス清掃サービスで急なスポット依頼をしたい場合、どうすればよいですか？,コールセンター（24時間対応）に連絡し、希望日時と清掃内容を伝えてください。空き状況を確認のうえ、最短で翌日対応が可能です。見積もりは当日提示いたします。
フードトラックをイベントへ出店依頼する際の連絡方法は？,公式サイトの［出店申込］フォームにイベント日時、場所、想定来場者数を入力してください。折り返し出店可否と必要条件（電源、水道など）を含む見積もりを送付します。
コンサートホールの客席レイアウト図を事前に確認するには？,公式Webサイトの［会場案内］ページでPDF形式の座席表をダウンロードできます。スマホ向けにはインタラクティブな3Dマップも用意しています。
ビルオーナー向けに賃料査定を依頼する手順は？,Webサイトの［賃料査定依頼］フォームに物件住所、築年数、延床面積を入力し、写真を添付してください。査定結果は10営業日以内にレポートでご提供します。
消費財メーカーで製品のリコール情報を確認するには？,当社Webサイトの［製品安全情報］ページにて、製品名またはJANコードを入力すると、該当するリコール情報が表示されます。メール通知登録も可能です。
シェアサイクルの利用料金プランを変更する方法は？,アプリの［マイアカウント］→［料金プラン変更］から希望プランを選択して変更ボタンをタップしてください。変更は翌月1日から適用されます。
レンタルスペースで飲食提供を許可されているか確認する方法は？,予約ページの［施設情報］に「飲食可」の項目が記載されています。詳しい条件は［利用規約］やFAQページを参照し、それでも不明な場合はお問い合わせフォームからご質問ください。
メーカーの製品保証書を紛失した場合、再発行はできますか？,"購入証明書（領収書やクレジットカード明細）をお持ちの場合、お問い合わせフォームから製品シリアル番号と購入日を記載して申請してください。再発行には1,000円の手数料がかかります。"
ITベンチャーでストックオプション制度を利用する条件は？,勤続1年以上かつフルタイム契約社員が対象です。発行数や行使期間は株主総会の承認によりますので、詳細は人事部へお問い合わせください。
建築資材店で大口取引先になるにはどうすればよいですか？,Webサイトの［法人会員登録］フォームに会社情報と取扱希望製品を入力してください。審査通過後、法人専用価格と在庫優先納品サービスが適用されます。
オンライン銀行で外貨送金をする際の手数料は？,"約定為替レートに加えて、一送金あたり3,000円の送金手数料がかかります。海外受取銀行側でさらに受取手数料が発生する場合があります。詳細は手数料一覧ページをご確認ください。"
住宅リフォーム業者で現地調査を依頼する時の流れは？,Webサイトの［無料見積もり依頼］フォームに住所、築年数、リフォーム箇所を入力し、希望調査日を選択してください。担当者が日程調整の連絡を3営業日以内に行います。
スポーツ用品メーカーでカスタムユニフォームを注文するには？,オンラインフォームでチーム名、デザイン案、サイズ&枚数を指定してください。デザイン確認用のサンプル画像をメールでお送りし、承認後に製造を開始します。納期は承認後4週間です。
公共交通機関でICカードの紛失時に残高を引き継ぐ方法は？,最寄りの窓口で紛失届を提出し、本人確認書類を提示すると残高照会が行われます。新しいカードに残高を移行し、再発行手数料500円をお支払いいただきます。
イベント企画会社で出席者名簿を提出する締切日は？,イベント開催日の7営業日前が名簿提出の締切日です。名簿に変更がある場合は開催日の3営業日前までに再提出してください。それ以降の変更は対応できません。
航空貨物輸送で危険物を輸送する際の申請手順は？,危険物輸送申請書に品名、UN番号、梱包仕様を記入し、運送約款に基づき梱包証明書と製造者発行の安全データシートを添付して航空会社へ提出してください。承認には2営業日かかります。
美術館で企画展の図録を購入する方法は？,ミュージアムショップのレジまたはオンラインショップで展示名を検索し、購入手続きに進んでください。オンラインの場合は事前予約が必要なことがありますので、ご注意ください。
企業のBCP策定でリスクアセスメントを行う手順は？,まず自社の事業プロセスを洗い出し、影響度と発生確率をスコア化します。次にリスクマトリクスを作成し、上位リスクに対する対応策を検討して文書化します。
クラウドストレージサービスで共有リンクの有効期限を設定する方法は？,ファイルを選択し、［共有リンク作成］をクリックした後、リンク設定画面で有効期限（日付と時間）を入力してください。作成されたリンクは期限を過ぎると自動で無効化されます。
自動車保険のオンライン契約で必要な書類は？,運転免許証の画像、車検証の情報（車台番号や型式）、過去の保険証券（継続の場合）をアップロードしてください。契約完了後、PDFの保険証券がメールで送付されます。
翻訳支援ツールで用語集をインポートする方法は？,管理画面の［用語管理］から［用語集インポート］を選択し、CSV形式の用語集ファイルをアップロードしてください。アップロード後に内容をプレビューし、問題なければインポートを実行します。
健康保険組合で出産育児一時金を申請する方法は？,出産後、医療機関から「出産育児一時金支払申請書」を受け取り、必要事項を記入・捺印のうえ、出生証明書と合わせて健康保険組合窓口へ提出してください。申請後約2週間で振込されます。
産業廃棄物収集運搬業者で見積もりを依頼する際の項目は？,廃棄物の種類、数量（重量または容量）、発生場所、搬出頻度、希望回収日を含む詳細情報をメールまたはWebフォームで送付してください。見積もりは概ね3営業日以内に提出します。
デザイン系オンラインマーケットプレイスで出品する流れは？,アカウント登録後、作品のジャンルを選択して出品ページにアクセスします。タイトル、説明文、価格、プレビュー画像を登録し、［出品する］をクリックすると公開されます。
携帯キャリアショップで端末の下取りを申し込む場合の手続きは？,購入予定の端末を持参し、店頭で下取り希望と伝えて査定を受けてください。査定完了後にクーポンコードが発行され、購入代金から下取り価格が割引されます。
クラウドPBXサービスで電話番号をポートイン（番号移行）する方法は？,ポートイン申請フォームに現在の電話番号、契約中のキャリア情報、MNP予約番号を入力し、必要書類（委任状など）を添付して送信してください。申請後、1週間～10日で移行完了します。
営業代行会社に新規開拓を依頼する際の契約形態はどのようなものがありますか？,代表的な形態として、成果報酬型（月額固定費＋成果歩合）、固定報酬型（月額のみ）、完全歩合型（成果のみ）があります。御社のニーズに合わせてプランを提案します。
ホテルで喫煙ルームと禁煙ルームを変更したい場合の手数料は？,"空室状況により変更が可能な場合、1泊あたり1,000円の変更手数料を申し受けます。チェックイン日の2日前までにご連絡ください。"
トラック輸送で緊急配送を依頼する場合、追加料金はどれくらいですか？,通常運賃の25％増しが緊急配送料金の目安です。距離や滞留時間によって変動しますので、具体的な見積もりはお問い合わせください。
公共施設をイベントで貸切利用する際の申し込み期間は？,利用希望日の6か月前から受付を開始し、3か月前が申込締切です。繁忙期（例：夏祭り期間）はさらに前倒しになる場合がありますので、自治体のWebサイトをご確認ください。
ビール醸造所ツアーを開催する際の予約方法は？,公式Webサイトの［ツアー予約］ページで参加人数、ツアー日時、希望コースを選択し、参加費用をクレジットカード決済してください。予約確認メールに当日の集合場所詳細が記載されています。
電子マネー加盟店で決済トラブルが発生した際の問い合わせ先は？,加盟店専用サポートデスク（24時間対応）に電話確認してください。POS端末番号とエラーコードをお手元に準備いただくと対応がスムーズです。
自治体の住民税申告をeLTAXで行う方法は？,eLTAXにログインし、［住民税］→［申告・申請］メニューから［個人住民税申告］を選択し、必要事項を入力・添付書類をアップロードしてください。その後、電子署名を行って送信します。
バイオマス発電事業で燃料調達先を変更する場合の手続きは？,現在締結中の燃料供給契約書を確認し、新規調達先との契約案を作成してください。その後、経済産業省への届出が必要な場合は所定の様式で提出します。変更後1か月以内に稼働報告書を提出してください。
自転車ショップでロードバイクの車体組み立てを依頼する場合の料金は？,"スポーツタイプのロードバイク組み立て費用は一律10,000円（税別）です。ホイール組みやコンポーネントのインストールが必要な場合は別途5,000円が加算されます。"
オンラインストレージで共有リンクにパスワードを設定するには？,ファイルを右クリックして［共有リンクを作成］を選び、リンク設定画面で「パスワード保護」を有効にし、任意のパスワードを入力してください。リンクを受け取った相手は入力が必須になります。
薬局のジェネリック医薬品への切り替えを希望する場合、どう伝えればよいですか？,処方箋を持参のうえ、受付時に「ジェネリック希望」とスタッフにお伝えください。医師の了承が必要な場合はご本人に確認して手配いたします。
ウォーターサーバーの契約解除を申請するには？,サポートダイヤルに電話し、契約者氏名と担当者からの確認コードを用意のうえ、解除希望日を伝えてください。解約手数料は契約開始から12か月未満の場合に発生します。
オフィス移転時に電話回線の移設手続きを行う方法は？,現契約キャリアのサポートサイトで移転申請書をダウンロードし、必要事項を記入後、現住所・新住所の平面図を添付して提出してください。移設工事日は申請から約3週間後になります。
オンライン英会話スクールで講師の変更をしたい場合は？,マイページの［講師一覧］から新しく受講したい講師を選び、希望日時でレッスン予約をしてください。既存の予約がある場合はキャンセル料なしで変更が可能です。
食器レンタルサービスで注文数を追加したい場合の手順は？,マイページの［注文履歴］から該当注文を選択し、［追加注文］をクリックして必要数を入力してください。追加分の料金は請求書に合算されます。
スタートアップ向けアクセラレーターに応募する際の必要資料は？,応募フォームで「ピッチデック（PDF）」「事業計画書」「創業メンバーの履歴書」をアップロードしてください。書類審査通過者には選考会の案内をメールで送付します。
オンラインストアでポイントを家族間で共有する方法は？,マイページの［家族アカウント管理］で「家族ポイント共有」を設定し、共有したいアカウントのメールアドレスを登録してください。承認後、ポイントが自動で合算されます。
製造業者のISO9001取得手続きにはどのようなステップがありますか？,①品質マニュアル作成→②内部監査実施→③マネジメントレビュー→④認証機関へ申請→⑤予備審査→⑥本審査→⑦是正処置→⑧認証登録という流れです。完了まで6カ月程度要します。
自治体のごみ有料化に伴い、指定ごみ袋を購入する方法は？,指定ごみ袋はスーパーやコンビニのレジで購入可能です。自治体発行の「指定袋販売店一覧」に記載されている店舗でお買い求めください。
シェアオフィスでロッカーを借りるには？,フロントで空き状況を確認し、契約書にサイン後、会員証を受け取ってください。月額料金は口座振替で支払われ、鍵は専用の電子ロックとなります。
オンラインフィットネスで痛みを感じた場合の対処方法は？,すぐにトレーニングを中断し、痛みが続く場合は医師の診断を受けてください。担当トレーナーに症状を詳細に伝え、適切なプログラムに切り替えて指導を受けましょう。
レストランでベジタリアンメニューを事前にリクエストするには？,予約時の備考欄に「ベジタリアンメニュー希望」とご記入ください。ご来店の3日前までにお知らせいただければ、シェフが特別メニューをご用意します。
中古住宅購入時に住宅診断（インスペクション）を依頼する場合の流れは？,仲介業者または検査会社に連絡し、検査希望日を調整します。検査当日は30分〜1時間程度かかり、後日検査報告書をPDFで提出します。費用は約5万円～です。
地方銀行で外貨定期預金を開設する際の金利と期間はどこで確認できますか？,銀行Webサイトの［預金・投資情報］ページに最新金利と取扱通貨、期間が掲載されています。店頭で相談してもパンフレットでご案内可能です。
宅配クリーニングで集荷依頼をキャンセルする方法は？,マイページの［集荷依頼履歴］から該当依頼を選択し、［キャンセル］をクリックしてください。当日12時までのキャンセルは無料です。
カフェのアルバイト応募でシフト希望を出す際のフォーマットは？,"応募フォームの「シフト希望」欄に、曜日と時間帯を「月曜10:00-14:00, 水曜17:00-21:00」のようにカンマ区切りで入力してください。第2希望も記載可能です。"
大学図書館で学位論文をオンラインで閲覧するには？,大学ポータルにログインし、図書館データベースの学位論文検索でキーワード検索してください。閲覧制限がある場合はVPN接続が必要です。
通信事業者の光回線を別住所に移転する際の手続き費用は？,"移転工事費用として一律15,000円がかかります。別途、新住所での初期登録費用3,000円が発生します。申請は移転予定日の2週間前までに行ってください。"
医療機関でオンライン診療領収書を再発行してもらうには？,受付またはオンライン診療システムのチャット機能で「領収書再発行希望」とお申し出ください。本人確認後、PDF形式でメール送付または郵送いたします。
旅行代理店でパッケージツアーのオプション追加を依頼するには？,予約確認書に記載された担当営業のメールアドレスへ、オプション内容（例：送迎、オプショナルツアー）を明記して返信してください。追加料金見積もりを3営業日以内にご提示します。
イベント運営会社でステージ設営の見積もりを依頼する際に必要な情報は？,会場名、設営希望日時、ステージサイズ（幅×奥行き×高さ）、仕込み機材（PA、照明など）、参加人数をメールでご連絡ください。見積もりは1週間以内に提出します。
オンライン法律相談で弁護士を指名したい場合の手順は？,相談予約画面で「弁護士指名」を選択し、氏名または専門分野を入力して候補を表示します。候補一覧から希望の弁護士を選び、相談日時を予約してください。
リサイクルショップで家電を下取りに出す場合、事前査定方法は？,Webサイトの「家電下取り査定」フォームに型番、年式、状態を入力して送信すると、概算査定額がメールで通知されます。その後、実物を店舗に持ち込むか宅配査定を依頼してください。
バーチャルオフィス契約で登記住所に利用する手続きは？,契約時に登記利用オプションを選び、登記用住所申請書を提出してください。契約完了後、登記可能な書類一式を発行します。登記変更後は定期的に郵便転送サービスが利用可能です。
航空機整備部品を調達する際のMOQ（最小発注数量）は？,部品によって異なりますが、標準的には10個単位での発注が必要です。特殊部品や高価部品は1個から対応可能な場合がありますので、部品管理システムでご確認ください。
ペーパーレス請求書で税務署への電子帳簿保存要件を満たす方法は？,電子帳簿保存法対応のクラウド会計ソフトを利用し、タイムスタンプの付与と検索機能（取引年月日・取引金額・取引先で検索可能）が実装されていることを確認してください。
ソーラーシェアリング事業で農地の区画登録を行う手順は？,農地法に基づく許可申請を農業委員会へ提出後、区画図と設備配置図を添付して市町村へ届け出ます。登録完了後、設備工事に着手可能です。
飲食店向けPOSレジでオフライン売上データの復元方法は？,オフラインモードで記録されたトランザクションは、再度インターネット接続後に自動的にサーバーと同期されます。同期が失敗した場合は、再起動後に［売上同期］ボタンを押してください。
大学病院で診療予約の変更をオンラインで行うには？,病院の総合受付Webサイトにログインし、［診療予約確認・変更］メニューから該当する予約を選択して変更可能な日時を選び、確定ボタンをクリックしてください。変更完了メールが送信されます。
ITコンサルティングでプロジェクト契約後の要件変更を依頼する手順は？,変更依頼書（RFP変更書）を作成し、変更箇所と影響範囲、スケジュール調整案を含めてメールでご提出ください。提出後5営業日以内に見積もりと新スケジュールをご提示します。
クラウドソーシングでタスク完了報告後に修正を依頼する場合の流れは？,タスク完了報告が届いたら、「修正依頼」ボタンをクリックして具体的な修正指示を入力してください。ワーカーが修正を完了したら再報告となり、承認後に報酬を確定します。
デジタルサイネージで表示コンテンツをスケジュール設定する方法は？,管理画面の［コンテンツ管理］から表示したい動画や画像をアップロードし、［スケジュール設定］で表示開始・終了日時と曜日を指定してください。設定完了後、自動的に配信されます。
製薬研究所で試薬の成分情報を確認するには？,社内ポータルの［リソースライブラリ］にログインし、試薬名で検索すると、SDSや製造ロット情報、純度、保証分析書などのドキュメントがPDFでダウンロードできます。
バスツアー会社で催行決定通知はいつ届きますか？,催行人数が最少催行人数に達した場合、ツアー開催日の7日前までに登録アドレス宛に催行決定メールを送信します。催行中止の場合は10日前までにご連絡いたします。
クラウドレンダリングサービスでGPUインスタンスタイプを変更する方法は？,ジョブ設定画面の［計算リソース］で現在利用中のインスタンスタイプを選択すると、変更可能な候補が表示されます。変更後、再レンダリング時に新しいインスタンスで処理されます。
法律事務所で過去に同じ判例があるか調べる方法は？,オンラインリーガルリサーチシステムにログインし、キーワード検索または判例番号検索を行ってください。判例概要と判決全文がPDFで閲覧できます。
シェアオフィスで会議室を予約する際の注意点は？,予約可能時間は9:00～18:00で、1回の最大利用時間は3時間です。利用希望日の3日前までに予約が必要で、キャンセルは利用日の2日前まで無料で可能です。
音声翻訳デバイスをレンタルする際の最低利用期間は？,最短レンタル期間は1週間（7日間）です。1カ月以上の長期レンタルの場合は割引プランが適用され、最低利用期間はありません。
大学・学園向け認証システムでシングルサインオンを設定する方法は？,管理コンソールの［認証設定］で「SAML2.0有効化」を選択し、IdPメタデータXMLをアップロードしてください。その後、各学内システムのSP設定を行い、テストユーザーでログイン確認を実施します。
スマートホームデバイスでWi-Fi設定がうまくできない場合の対処方法は？,2.4GHz帯のSSIDとパスワードが正しいか確認し、ルーターのリセットを試してください。スマートフォンとデバイスを同じSSIDに接続してから再度アプリで設定を行うと成功しやすくなります。
オンライン健康相談で専門医を指名する場合の追加料金はありますか？,"プラットフォーム標準の一般医師相談料に加えて、専門医指名の場合は一律5,000円（税込）の指名料が発生します。指名なしの場合は追加料金不要です。"
シェアキッチンを利用する際の保険加入要件は？,調理中の事故に備え、厨房賠償責任保険に加入する必要があります。プランによっては当社と提携した保険に割引料金で加入可能です。利用開始前に証券コピーを提出してください。
オンラインメンタリングサービスで途中解約すると返金はありますか？,月額プランは日割り返金対応しており、解約月の利用日数に応じて翌月分料金から差し引きます。年間プランは返金不可ですが、残り期間に応じたクレジットを付与します。
工場見学を希望する際の申込方法と注意事項は？,Webサイトの［工場見学申込］フォームに希望日時と参加人数を入力し、送信してください。見学は平日10:00～15:00限定で、希望日の2週間前までにお申し込みが必要です。安全靴を持参してください。
医療機器の定期校正を依頼する場合の納期はどれくらいですか？,校正依頼品が弊社に到着してから約14営業日で校正完了します。緊急対応（5営業日）は別途追加料金がかかりますので、申込時にお申し出ください。
自動販売機のフリーペーパー設置依頼をしたい場合、どのように連絡すればよいですか？,当社部署のメールアドレスへ、設置を希望するエリア、設置台数、配布部数を明記して送信してください。設置可否と条件をご返信します。設置許可が下りるまで約2週間かかります。
チケット販売サイトでコンビニ支払いを選択する方法は？,購入手続きの支払い方法選択画面で「コンビニ支払い」を選び、表示された番号を最寄りのコンビニ端末に入力して支払いを完了してください。支払い期限は発行日から3日間です。
オンライン相談窓口でチャットサポートを利用する時間帯は？,チャットサポートは平日9:00〜18:00（祝日除く）に対応しています。18:00以降や休日の問い合わせは翌営業日に回答いたしますのでご了承ください。
物流倉庫の危険物取扱い許可を取得するには？,消防法に基づき、所定の申請書と倉庫平面図、防火設備図面を管轄消防署へ提出してください。現地立入検査後、許可証が交付されるまで約1カ月を要します。
コワーキングスペースに常駐スタッフがいるか確認するには？,Webサイトの［施設紹介］ページにスタッフ勤務時間が掲載されています。平日10:00〜18:00は常時スタッフが対応しております。土日祝は不在です。
フードデリバリーサービスでクーポンを適用する方法は？,注文画面の「クーポンコード入力欄」にクーポンコードを入力し、適用ボタンをタップすると割引が反映されます。クーポンに利用条件がある場合は事前に確認してください。
コインランドリーで洗濯機の故障を報告する方法は？,機械に貼付されている故障連絡用QRコードを読み取り、故障報告フォームから機械番号と故障内容を入力してください。担当スタッフが24時間以内に対応いたします。
オンライン家計簿アプリで銀行口座を連携できない場合の対処方法は？,銀行側のAPIメンテナンス中やセキュリティ設定の影響で連携できないことがあります。一度アプリのキャッシュクリアを行い、再度連携をお試しください。それでも不具合が続く場合はサポートセンターへお問い合わせください。
レンタカーでタイヤチェーンを貸し出してもらうには？,冬季期間中は無料で貸し出し可能ですが、事前に予約時に「タイヤチェーン希望」とお伝えください。当日在庫があることを確認し、店舗で受け取り時に装着方法をご案内します。
ホームページ制作会社にSEO対策を依頼する際、最低限揃えるべき情報は？,対象キーワード、競合サイトURL、自社のUSP（強み）、目標達成までの期間（例：6カ月で検索順位10位以内）をまとめたブリーフを提出してください。これらを元に費用と施策内容を見積もります。
中古不動産購入で瑕疵担保保険に加入するメリットは？,物件引き渡し後に構造上重要な瑕疵が発見された場合、保険金が支払われ、補修費用や再建築費用を補償します。安心して購入できる他、融資条件が緩和されることもあります。
音楽ライブ配信プラットフォームで配信中のコメントをミュートする方法は？,配信管理画面の［コメント管理］タブで「ミュート設定」を有効にすると、視聴者の全コメントが非表示になります。特定キーワードのみ非表示にするフィルタ機能も搭載しています。
飲食店のPOSレジで売掛管理機能を使う方法は？,管理画面の［顧客管理］に取引先を登録し、会計時に「売掛取引」を選択すると、売掛残高に加算されます。月末締め処理を行うと請求書データをCSVで出力可能です。
公共交通機関のICカードで定期券購入後に名義を変更するには？,駅の窓口で定期券変更申請書を記入し、本人確認書類を提示してください。変更手数料520円を支払うと、新しいカードに定期券を移行できます。
ドローン空撮サービスでフライト許可を取得する流れは？,所轄航空局に対し、飛行計画書（飛行日時、場所、高度、使用機体情報）を提出し、承認を得てから撮影を行ってください。承認には10営業日程度かかる場合があります。
オンラインストアで購入した商品の配送状況はどこで確認できますか？,ご注文完了後にお送りするメールに記載の追跡番号で、配送業者のウェブサイトからご確認いただけます。また、マイページの購入履歴からもご確認可能です。
製品の保証期間と保証内容について教えてください。,製品の保証期間はご購入日から1年間です。通常使用における故障に対して、無償での修理または交換を保証いたします。詳細は製品付属の保証書をご確認ください。
予約したホテルのキャンセルポリシーはどうなっていますか？,ご宿泊日の3日前まではキャンセル料は無料です。2日前は宿泊料金の30%、前日は50%、当日は100%のキャンセル料が発生します。
アプリのプレミアムプランにアップグレードしたいのですが、方法を教えてください。,アプリ内の設定メニューから「アカウント」を選択し、「プレミアムプランにアップグレード」ボタンをタップしてください。お支払い情報を入力いただくと、すぐにアップグレードが完了します。
公共料金の支払いでクレジットカード情報を変更したいです。,当社のウェブサイトのお客様ポータルにログイン後、「お支払い方法の変更」メニューから新しいクレジットカード情報をご登録いただけます。
このソフトウェアの推奨動作環境を教えてください。,最新の推奨動作環境は、当社の公式サイトの製品ページに記載しております。OSのバージョン、CPU、メモリ、ディスク空き容量などをご確認ください。
商品の返品・交換は可能ですか？,商品到着後7日以内で、未使用・未開封の場合に限り、返品・交換を承ります。お客様都合の場合は、返送料をご負担いただきます。
ローンの早期返済はできますか？その場合、手数料はかかりますか？,早期返済は可能です。一部早期返済と全額早期返済があり、手数料についてはご契約内容によって異なりますので、お手数ですがコールセンターまでお問い合わせください。
オンライン診療の予約方法を教えてください。,当院のウェブサイトまたは専用アプリからご希望の診療科、医師、日時を選択してご予約ください。事前に問診票の入力をお願いしております。
定期購読している雑誌の配送先を変更したいです。,マイページの「定期購読管理」から、該当雑誌の「配送先変更」を選択し、新しい住所をご入力ください。次号から新しい配送先にお届けします。
イベントのチケットはどこで購入できますか？,イベント公式サイト内のチケット販売ページ、または提携プレイガイドにてご購入いただけます。一部、当日券の販売も予定しております。
製品カタログの送付をお願いできますか？,はい、当社のウェブサイトの「資料請求」フォームからお申し込みいただければ、郵送にてお送りいたします。
アカウントのパスワードをリセットする方法は？,ログイン画面の「パスワードをお忘れですか？」リンクをクリックし、ご登録のメールアドレスを入力してください。パスワードリセット用のURLをお送りします。
ポイントカードを紛失した場合、再発行は可能ですか？,はい、店頭にて再発行手続きを承ります。ただし、再発行手数料がかかる場合がございます。また、貯まっていたポイントの移行には数日お時間をいただくことがあります。
この食品のアレルギー情報を教えてください。,製品パッケージの原材料表示欄に特定原材料7品目およびそれに準ずる21品目の使用状況を記載しております。詳細はウェブサイトでもご確認いただけます。
図書館の休館日はいつですか？,毎週月曜日、国民の祝日、年末年始、及び蔵書整理期間が休館日です。詳細なカレンダーは図書館ウェブサイトでご確認ください。
新しいSIMカードへの切り替え方法を教えてください。,新しいSIMカードに同梱されているマニュアルをご参照の上、ご利用の端末に挿入し、APN設定を行ってください。設定後、開通手続きが必要な場合があります。
注文した商品の色やサイズを変更したいのですが。,ご注文確定後の変更は原則としてお受けできません。一度キャンセルしていただき、再度正しい商品をご注文いただく形となります。発送準備前であれば対応可能な場合もございますので、お早めにご連絡ください。
この電化製品の消費電力はどれくらいですか？,製品仕様ページまたは取扱説明書に記載されている定格消費電力をご確認ください。
会員登録をしないとサービスを利用できませんか？,一部のサービスは会員登録なしでもご利用いただけますが、全ての機能をご利用いただくためには会員登録（無料）が必要です。
海外発送は対応していますか？,申し訳ございませんが、現在のところ海外への発送は対応しておりません。国内発送のみとなります。
駐車場の利用料金と営業時間を教えてください。,最初の1時間は500円、以降30分ごとに250円です。1日の最大料金は2000円です。営業時間は24時間ですが、深夜0時から早朝6時までは入出庫できません。
セミナーのアーカイブ配信はありますか？,はい、セミナー終了後、準備が整い次第、参加者限定でアーカイブ動画を配信いたします。視聴期間については別途ご案内します。
銀行口座の残高証明書を発行してほしいです。,窓口またはインターネットバンキングでお手続きいただけます。発行には所定の手数料がかかります。
この植物の育て方のポイントを教えてください。,日当たりの良い場所を好み、水やりは土の表面が乾いたらたっぷりと与えてください。冬場は乾燥気味に管理するのがポイントです。
中古車の試乗は可能ですか？,はい、ご希望の車種がございましたら事前にご連絡いただければ試乗の手配をいたします。運転免許証をご持参ください。
遺品整理サービスでは、デジタル遺品（PCやスマホのデータ）の取り扱いもお願いできますか？,はい、ご要望に応じて、PCやスマートフォンのデータバックアップ、初期化、パスワード解除（可能な場合）などのデジタル遺品整理サポートも行っております。
スタートアップ企業向けの資金調達（エンジェル投資家、VC）支援は行っていますか？,はい、事業計画書のブラッシュアップ、ピッチ資料作成支援、投資家マッチング、交渉サポートなど、資金調達に関する一連のプロセスを支援します。
海外進出を検討しているのですが、現地の法規制や商習慣に関するアドバイザリーサービスはありますか？,はい、対象国・地域の専門家ネットワークを活用し、現地法人設立、許認可取得、労務、税務、商習慣などに関する包括的なアドバイザリーサービスを提供いたします。
ゲームキャラクターのセリフの音声収録をお願いしたいのですが、スタジオの手配も可能ですか？,はい、提携している録音スタジオの手配から、声優キャスティング、収録ディレクション、音声編集まで一括で承ります。
治験総括報告書（CSR）の作成支援サービスの内容を教えてください。,ICH E3ガイドラインに準拠したCSRの構成案作成、統計解析結果の解釈と記述、考察の執筆支援、QC（品質管理）チェックなど、ニーズに応じた部分支援・全体支援が可能です。
ロービジョン（弱視）の方向けのウェブサイト配色設計のポイントは何ですか？,十分なコントラスト比の確保（背景色と文字色）、拡大表示への対応、色の組み合わせ（例：赤と緑の同時使用を避ける）、ユーザーによる配色変更機能の提供などがポイントです。
特許明細書の翻訳で、クレーム（請求項）の翻訳は特に注意が必要ですか？,はい、クレームは特許の権利範囲を定める最も重要な部分ですので、法律用語の正確な理解と、原文の技術的思想を忠実に再現する高度な翻訳スキルが求められます。
来店客の動線分析調査を依頼したいのですが、どのような手法がありますか？,店内に設置したカメラ映像のAI解析、Wi-FiやBeaconを利用した位置情報把握、専門調査員による観察調査などの手法を組み合わせ、客観的な動線データとインサイトを提供します。
アジャイル開発プロジェクトのスクラムマスター代行をお願いできますか？,はい、認定スクラムマスターの資格を持つコンサルタントが、スクラムイベントのファシリテーション、チームの自己組織化支援、障害物の排除など、スクラムマスターの役割を代行・支援します。
産業用ロボットのオフラインティーチングは可能ですか？,はい、3Dシミュレーションソフトウェアを使用して、実際のロボットを停止させることなく、動作プログラムの作成や干渉チェックを行うオフラインティーチングサービスを提供しています。
Microsoft Azure の Virtual Desktop (AVD) 環境構築の支援をお願いできますか？,はい、要件定義、ネットワーク設計、マスターイメージ作成、ホストプール展開、FSLogix設定、セキュリティ対策など、AVD環境の設計・構築・運用をサポートします。
試作品の3Dプリントで、ゴムライクな柔軟性のある素材は使えますか？,はい、TPU（熱可塑性ポリウレタン）や一部の光硬化性エラストマーなど、ゴムのような柔軟性、弾力性を持つ素材での3Dプリントが可能です。硬度も複数選択できます。
ドローンによる農薬散布を依頼する場合、費用は面積あたりいくらくらいですか？,散布面積、地形、使用する農薬の種類、圃場の形状などによって異なりますが、一般的に1ヘクタールあたり数万円程度が目安となります。詳細はお見積もりいたします。
美術館展示用のインタラクティブなVRコンテンツを企画・開発してほしいのですが。,はい、展示テーマやターゲット層に合わせたVR体験の企画、3Dモデリング、プログラミング、現地での設営・調整までトータルでサポートいたします。
